"","status","tempo_empresa","moradia","tempo_emprestimo","idade","estado_civil","registros","trabalho","despesas","renda","ativos","dividas","valor_emprestimo","preco_do_bem"
"1","bom",9,"alugada",60,30,"casada(o)","não","autônomo",73,129,0,0,800,846
"2","bom",17,"alugada",60,58,"viúva(o)","não","fixo",48,131,0,0,1000,1658
"3","ruim",10,"própria",36,46,"casada(o)","sim","autônomo",90,200,3000,0,2000,2985
"4","bom",0,"alugada",60,24,"solteira(o)","não","fixo",63,182,2500,0,900,1325
"5","bom",0,"alugada",36,26,"solteira(o)","não","fixo",46,107,0,0,310,910
"6","bom",1,"própria",60,36,"casada(o)","não","fixo",75,214,3500,0,650,1645
"7","bom",29,"própria",60,44,"casada(o)","não","fixo",75,125,10000,0,1600,1800
"8","bom",9,"pais",12,27,"solteira(o)","não","fixo",35,80,0,0,200,1093
"9","bom",0,"própria",60,32,"casada(o)","não","autônomo",90,107,15000,0,1200,1957
"10","ruim",0,"pais",48,41,"casada(o)","não","meio período",90,80,0,0,1200,1468
"11","bom",6,"própria",48,34,"casada(o)","não","autônomo",60,125,4000,0,1150,1577
"12","bom",7,"própria",36,29,"casada(o)","não","fixo",60,121,3000,0,650,915
"13","bom",8,"própria",60,30,"casada(o)","não","fixo",75,199,5000,2500,1500,1650
"14","bom",19,"priv",36,37,"casada(o)","não","fixo",75,170,3500,260,600,940
"15","ruim",0,"outras",18,21,"solteira(o)","sim","meio período",35,50,0,0,400,500
"16","bom",0,"própria",24,68,"casada(o)","não","fixo",75,131,4162,0,900,1186
"17","bom",15,"priv",24,52,"solteira(o)","não","autônomo",35,330,16500,0,1500,2201
"18","bom",33,"alugada",24,68,"casada(o)","não","autônomo",65,200,5000,2000,600,1350
"19","ruim",0,NA,48,36,"casada(o)","não","meio período",45,130,750,0,1100,1511
"20","bom",1,"pais",60,31,"solteira(o)","não","fixo",35,137,0,0,1250,1253
"21","ruim",2,"alugada",60,25,"solteira(o)","não","fixo",46,107,0,0,1500,2189
"22","bom",5,"própria",60,22,"solteira(o)","não","fixo",45,324,10000,0,1100,1159
"23","ruim",1,"própria",60,45,"casada(o)","não","meio período",105,112,2000,500,600,1332
"24","bom",27,"alugada",60,41,"casada(o)","não","fixo",74,140,0,0,950,1497
"25","bom",26,"própria",60,51,"casada(o)","não","fixo",45,143,3500,0,1350,1357
"26","bom",12,"própria",36,54,"casada(o)","não","fixo",60,130,4000,0,700,2100
"27","bom",19,"própria",60,43,"solteira(o)","não","fixo",75,180,4000,0,1000,1070
"28","bom",15,"própria",36,43,"casada(o)","não","fixo",75,251,4000,0,1800,2557
"29","ruim",3,"própria",24,23,"casada(o)","não","fixo",75,85,5000,0,600,1600
"30","ruim",0,NA,48,37,"solteira(o)","não",NA,35,NA,NA,NA,1500,1850
"31","bom",4,"própria",48,29,"casada(o)","não","fixo",45,150,5000,3300,1100,1312
"32","ruim",0,"própria",36,23,"solteira(o)","não","meio período",45,122,2500,0,400,400
"33","bom",14,"priv",24,51,"casada(o)","não","meio período",75,198,1000,0,450,650
"34","bom",10,"própria",36,39,"casada(o)","não","autônomo",75,150,3000,0,1000,1394
"35","bom",12,"pais",36,35,"solteira(o)","não","fixo",35,170,0,0,1100,1542
"36","bom",32,"própria",24,62,"casada(o)","não","autônomo",45,119,8500,0,700,1200
"37","bom",10,"própria",24,56,"casada(o)","não","autônomo",45,208,13500,0,500,1560
"38","bom",7,"própria",48,32,"casada(o)","não","fixo",75,115,3000,0,800,1200
"39","ruim",1,"alugada",54,36,"casada(o)","não","fixo",70,99,0,0,950,950
"40","bom",30,"própria",60,64,"casada(o)","não","fixo",45,120,14000,0,1125,1300
"41","ruim",5,"alugada",48,31,"solteira(o)","não","fixo",44,90,0,0,1300,1700
"42","bom",24,"própria",60,42,"casada(o)","não","fixo",75,137,4000,0,900,1167
"43","bom",0,"própria",60,61,"viúva(o)","não","outros",35,230,50000,0,950,1150
"44","ruim",0,"própria",60,32,"casada(o)","sim","fixo",45,142,7000,3000,1250,1566
"45","ruim",2,"própria",60,43,"casada(o)","não","meio período",75,71,3000,0,1500,1552
"46","bom",1,"pais",60,26,"solteira(o)","não","meio período",35,120,0,0,1150,1300
"47","bom",1,"própria",60,49,"viúva(o)","não","autônomo",35,233,15900,4500,2100,2104
"48","bom",15,"própria",36,47,"casada(o)","não","fixo",75,289,3500,0,1500,2154
"49","ruim",2,"alugada",36,27,"separada(o)","não","fixo",48,128,0,0,450,545
"50","bom",25,"própria",36,52,"casada(o)","não","autônomo",60,150,15000,0,750,1778
"51","bom",8,"própria",60,28,"casada(o)","não","fixo",60,145,4000,1000,1600,1718
"52","bom",5,"própria",60,31,"casada(o)","não","fixo",75,90,4000,0,900,1500
"53","bom",0,"alugada",60,32,"casada(o)","não","fixo",105,301,0,0,1200,1274
"54","bom",5,"própria",36,51,"casada(o)","não","autônomo",75,200,2100,1200,900,1015
"55","bom",3,"pais",12,37,"casada(o)","não","autônomo",60,150,500,0,500,1701
"56","ruim",1,"alugada",48,29,"casada(o)","sim","autônomo",85,100,0,0,1000,1345
"57","bom",7,"pais",60,26,"solteira(o)","não","fixo",35,100,0,0,1000,1238
"58","bom",4,"pais",30,27,"solteira(o)","não","fixo",45,100,5000,0,500,1048
"59","bom",6,"própria",24,63,"casada(o)","não","fixo",60,155,4000,0,600,1048
"60","bom",14,"própria",24,55,"casada(o)","não","fixo",90,715,5000,0,800,1324
"61","bom",3,"alugada",60,28,"casada(o)","não","fixo",70,245,0,0,1830,2201
"62","bom",8,"alugada",48,31,"casada(o)","não","fixo",90,150,0,0,1100,1430
"63","ruim",4,"pais",42,27,"solteira(o)","não","fixo",35,70,0,0,600,926
"64","bom",22,"própria",24,40,"casada(o)","não","fixo",75,190,3000,0,1000,1500
"65","bom",2,"própria",36,35,"casada(o)","não","fixo",75,152,3000,0,1000,1542
"66","bom",15,"priv",60,43,"casada(o)","não","fixo",75,126,3000,0,1350,1360
"67","bom",10,"própria",18,34,"casada(o)","não","autônomo",75,181,4000,0,600,1000
"68","bom",4,"própria",60,37,"casada(o)","não","fixo",60,185,3000,0,1200,1564
"69","bom",9,"própria",60,53,"casada(o)","não","fixo",45,170,2500,0,850,1205
"70","bom",22,"alugada",60,46,"casada(o)","não","fixo",93,176,7500,0,2000,2200
"71","bom",18,"pais",36,36,"casada(o)","não","autônomo",60,238,0,0,900,2214
"72","bom",1,"priv",60,46,"casada(o)","não","fixo",60,115,5500,800,1000,1137
"73","bom",14,"própria",48,43,"casada(o)","não","fixo",45,200,9000,0,600,1025
"74","bom",8,"própria",36,31,"casada(o)","sim","autônomo",75,411,9000,4000,800,1593
"75","bom",5,"própria",24,43,"casada(o)","não","fixo",75,93,3000,0,700,1735
"76","bom",19,"alugada",60,38,"casada(o)","não","fixo",86,108,0,0,1000,1132
"77","bom",14,"própria",12,37,"casada(o)","não","autônomo",90,500,4000,0,500,1338
"78","bom",0,"outras",36,46,"casada(o)","sim","outros",45,45,0,0,900,1100
"79","bom",9,"alugada",36,55,"casada(o)","não","fixo",70,250,30000,0,1750,2276
"80","bom",29,"própria",48,56,"casada(o)","não","fixo",45,100,3000,0,900,1360
"81","bom",10,"própria",36,55,"casada(o)","não","fixo",60,70,4000,0,1000,1436
"82","bom",10,"pais",36,52,"casada(o)","não","fixo",60,150,0,0,550,612
"83","ruim",1,"própria",36,29,"casada(o)","não","fixo",60,70,4500,0,850,1100
"84","bom",11,"própria",60,39,"divorciada(o)","sim","fixo",35,263,2500,0,1000,1300
"85","bom",10,"própria",60,38,"casada(o)","não","autônomo",75,200,9000,0,1000,2089
"86","bom",5,"própria",24,24,"solteira(o)","não","fixo",35,78,6000,3000,500,2262
"87","bom",10,"alugada",60,28,"solteira(o)","não","fixo",47,120,0,0,600,1054
"88","bom",27,"própria",60,53,"casada(o)","não","fixo",60,125,10000,0,1426,1426
"89","ruim",0,"alugada",60,25,"solteira(o)","não","meio período",40,50,0,0,1040,1048
"90","ruim",25,"alugada",60,62,"casada(o)","não","fixo",60,146,0,0,1000,1292
"91","bom",3,"pais",60,29,"solteira(o)","não","fixo",35,70,0,0,950,1177
"92","ruim",9,"pais",60,32,"solteira(o)","sim","fixo",35,105,0,0,1490,1490
"93","bom",4,"alugada",36,21,"casada(o)","não","autônomo",101,413,6000,0,750,850
"94","bom",6,"alugada",36,38,"casada(o)","não","autônomo",95,500,25000,21400,800,1011
"95","bom",9,"alugada",48,56,"casada(o)","não","autônomo",140,350,0,0,1400,1571
"96","bom",3,"própria",36,41,"casada(o)","não","autônomo",75,200,3000,0,1000,1000
"97","ruim",22,"outras",36,46,"casada(o)","não","fixo",45,138,0,0,250,270
"98","bom",3,"própria",60,54,"viúva(o)","não","outros",35,80,4000,0,950,1382
"99","bom",30,"própria",36,51,"casada(o)","não","autônomo",120,208,15000,0,1500,1713
"100","bom",8,"alugada",60,52,"casada(o)","não","fixo",89,137,4000,0,800,1086
"101","bom",38,"própria",48,57,"casada(o)","não","autônomo",45,58,12000,0,1500,3262
"102","bom",2,"alugada",60,33,"casada(o)","não","fixo",73,130,0,0,1100,1610
"103","bom",4,"própria",60,33,"casada(o)","não","fixo",75,123,6000,1000,600,1030
"104","ruim",0,"alugada",36,29,"casada(o)","não","meio período",78,180,0,0,650,650
"105","ruim",2,"outras",48,23,"solteira(o)","não","fixo",35,140,0,0,1950,2175
"106","bom",8,"própria",24,33,"casada(o)","não","fixo",75,315,4500,0,400,1780
"107","ruim",1,"alugada",36,24,"casada(o)","não","meio período",76,164,0,0,900,950
"108","ruim",6,"pais",60,28,"casada(o)","não","autônomo",90,325,7000,0,1200,1211
"109","bom",5,"própria",60,27,"casada(o)","não","fixo",45,135,5000,1400,1600,1650
"110","ruim",13,"pais",36,33,"solteira(o)","não","fixo",35,109,0,0,350,350
"111","bom",11,"alugada",60,32,"casada(o)","não","fixo",79,185,0,0,950,1117
"112","bom",10,"própria",24,39,"casada(o)","não","fixo",45,217,9000,3000,1500,2468
"113","ruim",20,"própria",60,51,"casada(o)","não","autônomo",90,300,12500,2500,1340,1740
"114","ruim",0,"própria",36,39,"solteira(o)","não","autônomo",35,NA,4000,0,1000,1210
"115","bom",13,"própria",48,29,"casada(o)","não","fixo",60,253,3000,0,670,963
"116","ruim",2,"própria",36,32,"casada(o)","não","fixo",75,101,1500,400,1200,1646
"117","ruim",3,"própria",36,40,"casada(o)","sim","autônomo",35,200,10000,0,800,800
"118","bom",12,"própria",36,47,"casada(o)","não","fixo",75,124,3500,0,460,470
"119","bom",20,"própria",24,66,"casada(o)","não","fixo",45,143,10000,0,950,1370
"120","bom",3,"priv",48,39,"separada(o)","não","autônomo",35,250,4000,1500,700,839
"121","bom",27,"própria",60,50,"casada(o)","não","fixo",75,135,5500,1000,600,1346
"122","bom",4,"alugada",60,25,"casada(o)","não","fixo",57,115,0,0,900,1350
"123","ruim",1,"própria",60,27,"casada(o)","não","meio período",75,160,4000,3000,1800,2100
"124","bom",18,"alugada",60,54,"casada(o)","não","fixo",66,214,0,0,1300,1307
"125","bom",12,"alugada",60,42,"casada(o)","não","fixo",114,390,0,0,1100,1126
"126","bom",12,"própria",48,35,"separada(o)","não","autônomo",45,500,200000,0,2380,4786
"127","ruim",0,"pais",60,23,"solteira(o)","não","meio período",35,95,0,0,1400,1478
"128","bom",12,"própria",60,52,"casada(o)","não","fixo",75,200,12000,0,1550,1568
"129","bom",0,"pais",24,22,"solteira(o)","não","meio período",35,85,0,0,650,1056
"130","bom",10,"outras",18,48,"casada(o)","não","fixo",90,214,0,0,1000,1608
"131","bom",2,"própria",60,25,"casada(o)","não","fixo",75,140,3000,0,950,1179
"132","ruim",10,"outras",60,26,"casada(o)","não","fixo",45,60,0,0,1400,1524
"133","bom",8,"própria",60,28,"casada(o)","não","fixo",75,180,4000,0,1300,1730
"134","bom",20,"própria",30,62,"casada(o)","não","autônomo",60,300,24000,9000,600,823
"135","bom",0,"alugada",60,33,"casada(o)","não","autônomo",65,200,0,0,700,800
"136","bom",16,"pais",60,41,"casada(o)","não","fixo",75,242,0,0,1300,1482
"137","bom",4,"própria",60,29,"casada(o)","não","meio período",60,155,5000,2500,900,1110
"138","ruim",1,"alugada",60,37,"solteira(o)","não","fixo",45,100,0,0,1150,1555
"139","bom",0,"própria",60,31,"casada(o)","não","fixo",60,105,3500,0,1100,1170
"140","bom",15,"própria",12,50,"casada(o)","não","autônomo",45,166,2000,0,500,886
"141","ruim",13,"alugada",60,42,"separada(o)","sim","fixo",47,120,0,0,800,1395
"142","bom",19,"própria",36,33,"casada(o)","não","fixo",60,115,6700,2000,1000,2084
"143","bom",15,"própria",24,54,"casada(o)","não","autônomo",90,350,150000,0,3800,8800
"144","bom",40,"própria",36,58,"casada(o)","não","autônomo",75,NA,50000,0,1000,1160
"145","bom",9,"alugada",60,40,"casada(o)","não","fixo",119,442,6000,1947,900,1211
"146","ruim",12,"pais",60,31,"separada(o)","sim","fixo",35,101,0,0,1300,1300
"147","ruim",0,"própria",36,35,"casada(o)","sim","fixo",105,122,5200,2000,850,850
"148","bom",14,"própria",60,64,"casada(o)","não","autônomo",60,250,10000,0,700,1204
"149","bom",10,"pais",24,29,"solteira(o)","não","autônomo",35,90,0,0,600,1528
"150","bom",2,"própria",48,33,"casada(o)","não","fixo",45,160,6000,0,1200,1298
"151","bom",15,"própria",18,35,"casada(o)","não","autônomo",60,300,4000,0,300,600
"152","ruim",1,"pais",48,28,"solteira(o)","não","fixo",35,83,0,0,1000,1320
"153","bom",27,"própria",60,59,"casada(o)","não","autônomo",45,NA,11000,0,1100,1300
"154","ruim",0,"outras",60,25,"casada(o)","não","meio período",60,60,0,0,1300,1380
"155","ruim",0,"pais",60,23,"solteira(o)","não","meio período",35,205,0,0,1400,1426
"156","bom",3,"própria",24,30,"casada(o)","não","autônomo",75,133,12000,900,1500,5200
"157","bom",8,"alugada",36,36,"casada(o)","não","fixo",78,179,0,0,900,1503
"158","bom",3,"própria",48,25,"solteira(o)","não","autônomo",35,NA,4000,0,1200,1449
"159","bom",5,"outras",60,22,"solteira(o)","não","fixo",45,195,0,0,700,1422
"160","bom",9,"própria",24,45,"casada(o)","não","fixo",75,112,4000,0,500,1430
"161","bom",4,"própria",30,47,"casada(o)","não","autônomo",90,210,15000,0,1550,1578
"162","bom",14,"priv",48,36,"casada(o)","não","fixo",75,155,3500,200,1100,1250
"163","bom",3,"própria",36,36,"solteira(o)","sim","autônomo",35,394,16000,0,1500,2260
"164","bom",22,"alugada",36,60,"casada(o)","não","fixo",60,149,0,0,200,280
"165","bom",20,"alugada",48,59,"casada(o)","não","fixo",57,120,0,0,800,1298
"166","ruim",6,"própria",48,58,"casada(o)","sim","autônomo",60,400,86000,0,930,945
"167","bom",23,"própria",12,37,"casada(o)","não","fixo",45,165,5000,0,900,1694
"168","ruim",5,"própria",36,32,"casada(o)","não","autônomo",75,125,6000,0,600,700
"169","bom",8,"alugada",48,26,"solteira(o)","não","fixo",42,74,0,0,600,1290
"170","bom",5,"própria",60,40,"casada(o)","não","fixo",75,86,4900,0,1300,1581
"171","bom",20,"própria",48,55,"casada(o)","não","fixo",45,185,5000,0,1000,1383
"172","bom",11,"alugada",60,30,"casada(o)","não","fixo",77,165,0,0,1350,1637
"173","bom",25,"pais",54,43,"casada(o)","não","fixo",75,110,7000,0,1275,1275
"174","ruim",2,"alugada",60,28,"casada(o)","não","fixo",74,138,0,0,1400,1400
"175","bom",20,"própria",24,47,"casada(o)","não","autônomo",75,300,5000,0,600,832
"176","bom",9,"própria",36,29,"solteira(o)","não","fixo",35,147,3500,0,1886,2886
"177","ruim",0,"alugada",60,48,"separada(o)","sim","autônomo",35,NA,25300,15500,1200,1257
"178","bom",18,"pais",60,34,"casada(o)","não","fixo",60,112,6550,0,600,1346
"179","bom",20,"própria",60,53,"casada(o)","sim","autônomo",75,350,6500,0,800,1138
"180","bom",6,"própria",12,44,"casada(o)","não","fixo",45,110,15000,0,300,1801
"181","ruim",0,"própria",48,49,"casada(o)","não","meio período",45,75,2000,0,900,1200
"182","bom",0,"alugada",36,51,"casada(o)","não","fixo",113,230,0,0,950,950
"183","bom",14,NA,60,34,"casada(o)","não","fixo",75,85,8000,0,1400,1589
"184","bom",10,"própria",48,42,"casada(o)","não","autônomo",75,210,4000,120,1200,1617
"185","bom",19,"própria",60,34,"casada(o)","não","fixo",75,125,5000,0,1200,1200
"186","bom",11,"própria",60,46,"casada(o)","não","fixo",75,149,3500,0,1400,2194
"187","bom",1,"própria",48,31,"casada(o)","não","fixo",75,201,2500,96,1100,1642
