id,track_name,artist_name,genre,duration_ms,year,popularity,explicit
000xQL6tZNLJzIrtIgxqSl,Still Got Time,ZAYN,Dance,188491,2017,64,0
004XT7kCZUEJkVIZjmBdDi,Life Rolls On,Slightly Stoopid,Reggae,219107,2015,54,0
005lwxGU1tms6HGELIcUv9,I Kissed A Girl,Katy Perry,Dance,179640,2008,67,0
007n10xGvSbc7dKgAORVIq,Brokenheartsville,Joe Nichols,Country,231347,2011,50,0
007reLkuOQhAJypiC5sVyX,Power and the Glory,Jimmy Cliff,Reggae,311333,1983,34,0
00AxNl4D4jHL2AEf1W55j5,What The Hell Did I Say,Dierks Bentley,Country,207333,2016,53,0
00B7TZ0Xawar6NZ00JFomN,Best Life (feat. Chance The Rapper),Cardi B,Rap,284856,2018,61,1
00bnP8RyknzZMkNlEAO2ih,Ghetto Story,Cham,Reggae,251640,2006,45,0
00bOhb4584JjyfTiXX81mO,The Weight,The Staple Singers,Jazz,275640,1968,58,0
00CcJObzGJw76LjLDyEO6I,Anxiety,Nobuo Uematsu,Anime,242373,1997,40,0
00Ci0EXS4fNPnkTbS6wkOh,Electric Love - Oliver Remix,BØRNS,Indie,253880,2015,55,0
00CmjeeHvAVKvx3tcIiZTy,Two Lovers,Mary Wells,Blues,166733,1963,49,0
00cn1ynXQhURwsgv69fN0b,Walls Come Tumbling Down,The Style Council,Ska,204333,1985,55,0
00cP5rqzL6ZrwMaqTEeGIN,Hard To See,Five Finger Death Punch,Alternative,209493,2009,53,1
00CqEmnPLFKDhAb3cuu6Cs,Halo,Cage The Elephant,Blues,177960,2013,53,0
00CXUMREit80f2McJsjcIz,"Lieder ohne Worte (Songs without Words), Book 2, Op. 30: No. 7 in E-Flat Major, Op. 30, No. 1",Felix Mendelssohn,Classical,282813,1990,54,0
00epdG9ONPL8KkErbmKW8o,Forget About,Sibylle Baier,Folk,151413,2006,47,0
00ewK9Kpoi6c22txK9Zg3L,It's Only A Paper Moon,Dion & The Belmonts,Blues,116507,1960,27,0
00f5PRX5IZwqWQUYnHm39U,One Last Shot,Klaus Badelt,Soundtrack,286027,2003,42,0
00FROhC5g4iJdax5US8jRr,Satisfy You,Diddy,R&B,286441,1999,53,0
00gLisxOrLruNwJFdpkHc2,forget her,girl in red,Indie,143356,2018,64,0
00GOPLxW4PGQuUYdPJh8K1,IV. Sweatpants,Childish Gambino,Hip-Hop,180675,2013,72,1
00h6syYCxPKVsInPHXhdZ1,Sarah Smiles,Panic! At The Disco,Pop,213320,2011,59,0
00hgtJwONC7jG6X0GUMXvv,Good Things,The Menzingers,Alternative,143187,2012,47,0
00hh0NPClA0PJetfwn4k5R,Know What I Want,Kali Uchis,Alternative,251111,2015,53,0
00HIh9mVUQQAycsQiciWsh,Limestone,Magic City Hippies,Indie,209165,2015,58,0
00i0O74dXdaKKdCrqHnfXm,La Mordidita,Ricky Martin,Dance,211680,2015,69,0
00i7ax8aYWIIM6bfg84rww,Emerald City Sequence,Richard Pryor,Comedy,403800,1978,28,0
00Iqzdq2idIiTZLQwDHiX1,Improvisations On The Theme Music From Pather Panchali - Digitally Remastered,Ravi Shankar,World,427480,1962,28,0
00IrSynHsun7DpDrLkRIjM,The Boy In the Bubble,Paul Simon,Folk,239693,1986,55,0
00jJj3XYxKxjJl0fYFvIIu,Ascot Gavotte - Voice,André Previn,Classical,186067,1964,23,0
00KfIFi2TpAaQGPbRbFbKJ,IN MY REMAINS,Linkin Park,Alternative,200693,2012,62,0
00klSin5es2cwPgZf103Fz,What Part of No,Lorrie Morgan,Country,166173,1995,38,0
00kvKlIvfzQLSi6T2zwXuS,Strawberry Letter 23,The Brothers Johnson,Jazz,299067,1977,62,0
00lyarD4289QvlInsLDf9z,Secret Lover,The Isley Brothers,Soul,263000,2001,36,0
00m7k9KGQMFNrc07N4Xtzx,I'm A Mover,Free,Blues,178360,1968,29,0
00Mb3DuaIH1kjrwOku9CGU,Sk8er Boi,Avril Lavigne,Dance,204000,2002,76,0
00meczE1jpLTX0BBzIGrAR,Big Girls Don't Cry,Frankie Valli & The Four Seasons,Folk,148013,1962,60,0
00NAQYOP4AmWR549nnYJZu,Secrets,The Weeknd,Pop,265600,2016,71,0
00NNd1BFzQQzZe4UcvZIzB,Pints of Guinness Make You Strong,Against Me!,Folk,160520,2002,49,0
00NUqFMIpCsrYPbM9YpVHQ,MegaMan,Lil Wayne,Hip-Hop,198280,2011,53,1
00NxCtvQTy3wkSvpaKEyKe,Paper Doll,The Mills Brothers,Jazz,157133,1992,40,0
00oZhqZIQfL9P5CjOP6JsO,Tomorrow Never Knows - Remastered 2009,The Beatles,Rock,179547,1966,58,0
00p615Q4EFYMIAr055wqRu,All About Soul,Billy Joel,Folk,361307,1993,47,0
00PQGqk0unpUPuu8JpXXmD,Get Up Off Your Knees,David Axelrod,Jazz,220000,1974,34,0
00QAndVDVfNqNWYdWAhEan,Who Wants To Live Forever - Remastered 2011,Queen,Rock,295347,1991,50,0
00qOE7OjRl0BpYiCiweZB2,Juke Box Hero,Foreigner,Rock,259800,1981,68,0
00QyLmjxaSEE8qIZQjBXBj,We Own It (Fast & Furious),2 Chainz,Hip-Hop,227893,2013,61,0
00rDcOb5oBm6tUvhDnDhdJ,San Franciscan Nights,Gábor Szabó,Jazz,203040,1967,45,0
00ReeHCY0FQUyuAUyPJdnk,Ain't No Future In Yo' Frontin',MC Breed,Rap,244733,1991,49,1
00RszQJWEyatTmJhP9OAay,I Wanna Go To The Sun - Live,Peter Frampton,Blues,435707,1976,33,0
00SmB7n85SKROGjybsyq5i,Bongo Bong,Manu Chao,Alternative,158427,1998,66,0
00sPWXrRQtyGn9BqoPbMCd,Grievous Speaks to Lord Sidious,John Williams,Soundtrack,168053,2005,43,0
00sydAz6PeOxYzwG1dRIPi,Search and Destroy - Iggy Pop Mix,The Stooges,Alternative,208133,1973,51,0
00t78SKl7PHj3KfQ54fenL,A Little Soul,Pete Rock,Alternative,341200,2001,51,0
00t7QTffOR3SA3L1BvSQVq,Suicidal Thoughts,The Notorious B.I.G.,Hip-Hop,170227,1994,63,1
00TU7szqwBrxWTd9SO7ihK,Ella Uso Mi Cabeza Como Un Revolver - MTV Unplugged,Soda Stereo,Ska,364493,1996,54,0
00U1MDChdOTxWwtKoOoBXE,Stay (I Missed You),Lisa Loeb,Folk,184333,1994,59,0
00vYs0qZA40Z8AAaN7xmMO,Manic Monday,The Bangles,Dance,184160,1986,60,0
00wT7HAtqZ2BnemrR34vbO,4,Aphex Twin,Electronic,217133,1996,43,0
00WvmRXTkPBZNhhRK3xfdy,As Long as You Love Me,Backstreet Boys,Dance,214333,1996,59,0
00WXjbcR195RztyuAQ90ub,Rapture,Hurt,Alternative,340667,2006,48,0
00XrSeoUJusUuWvqd08lyF,I’ll Be Loving You,The King Khan & BBQ Show,Blues,190413,2009,49,0
00Y9r5SfbDdEjJhNg7laQr,Top Gun Anthem,Harold Faltermeyer,Soundtrack,252200,1999,55,0
00zqTWtvCWvDtAqoLRl6Sy,When It Hurts,Avant,R&B,236213,2008,45,0
010ALbbh5KlQ4fKWgSdhRd,Look On Down From The Bridge,Mazzy Star,Alternative,287893,1996,59,0
01205t95ROs3tqbFrkuQQS,Collide (feat. Sheryl Crow & Bob Seger),Kid Rock,Alternative,288773,2010,45,0
013AWvizllIUEC2FOBzOnh,Truly Madly Deeply,Savage Garden,Dance,277267,1997,74,0
0158TMiGmHyibaDeaUKayX,She Won't Be Lonely Long,Clay Walker,Country,209253,2010,62,0
015qd1I4v00JIoK7yOUgKC,Rush Rush,Paula Abdul,Dance,292933,1991,61,0
017nSBNU2XHwMV0NCWZCqg,Divine Romance,Phil Wickham,Alternative,298027,2007,43,0
018Idkvf82hi44UZmIXiGB,"Never Seen Anything ""Quite Like You"" - Acoustic",The Script,Pop,228147,2018,70,0
018Lv2nSK23HDJeqmvw1A8,My World,Kid Cudi,Hip-Hop,243000,2009,50,1
019KRrap2TW8ASDAWbe6OU,Once in a Lifetime - Live,Talking Heads,Folk,325573,1984,47,0
01A7PEPSnmtixFPfB2UTal,Buy The World,Mike WiLL Made-It,Hip-Hop,226693,2014,59,1
01ACsk2knUnsfWeZp63nqa,Do Somethin',Britney Spears,Dance,204493,2004,42,0
01Aj44KIjCrPmZeXq4UOky,Emotion,Destiny's Child,Dance,236400,2001,59,0
01BlGnXpLuC0BjgUxVYZFb,Never Let You Go,Justin Bieber,Dance,264400,2010,56,0
01Ch5LzVStxCFPKkT1xg6k,sweet sweet,Travis Scott,Pop,222318,2016,66,1
01CIueRxPGWmkQjjzT70wi,May I Have a Talk with You,Stevie Ray Vaughan,Blues,348160,1991,38,0
01CnYyPXMFRzOFVQBU8WMb,This One's for the Girls,Martina McBride,Country,243160,2003,58,0
01cQPNCptd662nikuY42zw,Have You Seen Her,The Chi-Lites,Soul,310747,2006,46,0
01CYr3t0hedD915PmI5l4D,Trashed and Scattered,Avenged Sevenfold,Alternative,351533,2005,53,1
01Dc5vTMc9axpkvDUy0yiD,Words,Gregory Alan Isakov,Folk,241627,2009,52,0
01dmH2IPkrLNWIMPNXlreE,Paradise,BTS,Pop,211224,2018,66,0
01e8dGbulrphX8j3fZDQYk,I Hold On,Dierks Bentley,Country,279533,2014,61,0
01F8B0dhzGdWvmcSO6vUdi,Just The Two Of Us,Will Smith,Dance,315507,1997,51,0
01FwouklQ4Kv0xj15t7tQU,Have I Sinned,Donnie Elbert,Soul,178520,2005,42,0
01gDLZsi0j5fWC28FLPNO8,Move on Up - Extended Version,Curtis Mayfield,Soul,535333,1970,64,0
01Gfd9dL7tNz3a125MrmSk,"Puccini: Madama Butterfly, Act 1: ""Ah! Ah! quanto cielo!...Ancora un passo or via"" (Butterfly, Sharpless, Chorus)",Giacomo Puccini,Opera,180293,1955,17,0
01GHOdYIsJfrFBqsPpXd6k,Into the Deep (Live),Citipointe Live,World,388133,2016,58,0
01gNiOqg8u7vT90uVgOVmz,Whole Lotta Lovin',Mustard,Hip-Hop,299160,2016,58,1
01GuEEndnNy8HBs38c3qDN,"Symphony in C Major, Op. 46 (Live)",Hans Pfitzner,Opera,923573,1950,0,0
01hJnhpAmjzg85Etnz2ECH,Body and Soul,Tony Bennett,Jazz,200587,2011,56,0
01HW8CqQdIeejpFOa8gi9j,Smile Jamaica - Single Version - 1976,Bob Marley & The Wailers,Reggae,198933,1976,29,0
01iIIgdoDuKn3yaNguCMmG,Good Weed Bad B*tch,K CAMP,R&B,200591,2014,58,1
01IyLgH29kt46qu8hdwf8G,You & I,Avant,Dance,234400,2013,52,0
01jIO8SJFnpSiNLH1JaBZ5,You,Jacquees,Hip-Hop,217387,2018,71,1
01JPQ87UHeGysPVwTqMJHK,She Don't (feat. Ty Dolla $Ign),Ella Mai,Pop,264098,2016,72,1
01kmJXmeQaNlSZFRyFlSmz,Fire,Ohio Players,Jazz,264360,1976,54,0
01KmuCiXyLX4G0YxVCeHDq,"Mozart: Piano Sonata No. 11 in A Major, K. 331 / K. 300i: III. Rondo alla turca",Wolfgang Amadeus Mozart,Classical,217227,1995,42,0
01ksPzu3Bw8Lsf9o6xIk8C,Mi Último Deseo,Banda Los Recoditos,Pop,163560,2013,68,0
01LODLnhlfNphZ366BqKc0,Now That We're Dead,Metallica,Rock,419075,2016,52,0
01M4pDUAFpAiuvtNSDRSlE,Fefe Naa Efe,Fela Kuti,World,492293,1973,29,0
01M4Wng6jF5uoNEHLl2OIn,Mama Knew Love,Anthony Hamilton,Soul,208440,2003,41,0
01MBhRpvFkbeRwAp7gcF2W,E-Pro,Beck,Alternative,202360,2005,54,0
01MFfRjAozDDQeOe60kUQQ,Peace Officer,Jimmy Cliff,Ska,250173,1969,26,0
01Mpj13vURSO3cCLprPt5T,Raining Blood,Slayer,Alternative,254400,1986,62,0
01mWPCa4StT9u5gGBBdmWW,Green-Tinted Sixties Mind - 2010 Remastered Version,Mr. Big,Classical,210413,1991,44,0
01MXkFA8sL7at6txavDErt,Making Love Out of Nothing at All,Air Supply,Rock,341747,2018,70,0
01N5MWGnmI0Zjd0D0vXciF,<U+3042><U+306E><U+65E5><U+306B><U+304B><U+3048><U+308A><U+305F><U+3044>,Yumi Arai,Anime,220627,1976,42,0
