id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
000xQL6tZNLJzIrtIgxqSl,0.131,0.748,0.627,0,0.0852,-6.029,0.0644,120.963,0.524
004XT7kCZUEJkVIZjmBdDi,0.00163,0.644,0.749,0.863,0.0735,-6.531,0.0336,174.065,0.755
005lwxGU1tms6HGELIcUv9,0.00223,0.699,0.76,0,0.132,-3.173,0.0677,129.996,0.696
007n10xGvSbc7dKgAORVIq,0.126,0.458,0.677,0.000587,0.0944,-4.327,0.031,208.056,0.488
007reLkuOQhAJypiC5sVyX,0.0307,0.683,0.423,0,0.245,-14.597,0.0332,89.336,0.938
00AxNl4D4jHL2AEf1W55j5,0.000668,0.579,0.804,1.19E-06,0.198,-4.777,0.0265,107.985,0.291
00B7TZ0Xawar6NZ00JFomN,0.287,0.62,0.625,0,0.314,-7.438,0.553,167.911,0.665
00bnP8RyknzZMkNlEAO2ih,0.338,0.613,0.563,0,0.381,-8.206,0.358,103.371,0.775
00bOhb4584JjyfTiXX81mO,0.424,0.629,0.387,0,0.0479,-13.667,0.0386,76.003,0.497
00CcJObzGJw76LjLDyEO6I,0.902,0.243,0.117,0.842,0.263,-19.072,0.0378,139.014,0.0397
00Ci0EXS4fNPnkTbS6wkOh,0.000965,0.53,0.77,0.0115,0.265,-5.882,0.0824,184.537,0.107
00CmjeeHvAVKvx3tcIiZTy,0.426,0.678,0.405,0,0.109,-16.965,0.0304,105.902,0.96
00cn1ynXQhURwsgv69fN0b,0.00148,0.429,0.936,0,0.177,-6.162,0.055,151.287,0.689
00cP5rqzL6ZrwMaqTEeGIN,4.62E-06,0.513,0.976,0.00034,0.117,-3.117,0.17,111.992,0.133
00CqEmnPLFKDhAb3cuu6Cs,0.0399,0.575,0.985,0,0.166,-1.038,0.0743,116.011,0.476
00CXUMREit80f2McJsjcIz,0.995,0.355,0.0164,0.926,0.0986,-28.659,0.0396,67.946,0.0922
00epdG9ONPL8KkErbmKW8o,0.99,0.59,0.106,0.648,0.11,-17.245,0.0332,97.042,0.28
00ewK9Kpoi6c22txK9Zg3L,0.785,0.464,0.509,0,0.141,-7.04,0.0311,125.224,0.811
00f5PRX5IZwqWQUYnHm39U,0.806,0.185,0.12,0.946,0.111,-16.101,0.0416,135.019,0.0541
00FROhC5g4iJdax5US8jRr,0.591,0.764,0.594,0,0.145,-10.05,0.185,87.261,0.695
00gLisxOrLruNwJFdpkHc2,0.631,0.533,0.313,0.681,0.072,-16.827,0.033,148.926,0.517
00GOPLxW4PGQuUYdPJh8K1,0.154,0.71,0.47,0,0.643,-9.33,0.142,80.027,0.581
00h6syYCxPKVsInPHXhdZ1,0.000324,0.332,0.837,0,0.164,-3.437,0.038,171.341,0.551
00hgtJwONC7jG6X0GUMXvv,0.00479,0.48,0.93,0.104,0.161,-5.985,0.0385,136.904,0.487
00hh0NPClA0PJetfwn4k5R,0.167,0.706,0.631,4.91E-06,0.155,-4.292,0.0381,81.004,0.603
00HIh9mVUQQAycsQiciWsh,0.282,0.706,0.457,0.00849,0.0614,-9.359,0.0383,78.014,0.723
00i0O74dXdaKKdCrqHnfXm,0.0344,0.725,0.903,0,0.183,-2.955,0.0658,142.006,0.946
00i7ax8aYWIIM6bfg84rww,0.234,0.418,0.83,0.00141,0.244,-7.7,0.119,124.052,0.549
00Iqzdq2idIiTZLQwDHiX1,0.945,0.336,0.247,0.264,0.273,-21.54,0.0532,74.793,0.429
00IrSynHsun7DpDrLkRIjM,0.479,0.62,0.703,0,0.14,-7.854,0.0836,136.155,0.559
00jJj3XYxKxjJl0fYFvIIu,0.892,0.639,0.096,0.000124,0.541,-19.257,0.0469,120.815,0.607
00KfIFi2TpAaQGPbRbFbKJ,0.00401,0.553,0.907,0,0.266,-5.623,0.0484,100.967,0.451
00klSin5es2cwPgZf103Fz,0.389,0.719,0.534,7.92E-06,0.363,-9.804,0.0274,129.986,0.832
00kvKlIvfzQLSi6T2zwXuS,0.269,0.73,0.622,0.00874,0.111,-11.7,0.0532,90.973,0.752
00lyarD4289QvlInsLDf9z,0.0516,0.64,0.617,0,0.323,-4.616,0.0362,76.996,0.902
00m7k9KGQMFNrc07N4Xtzx,0.027,0.456,0.485,1.34E-05,0.0907,-11.386,0.0611,148.676,0.837
00Mb3DuaIH1kjrwOku9CGU,6.79E-05,0.487,0.9,0,0.358,-4.417,0.0482,149.937,0.484
00meczE1jpLTX0BBzIGrAR,0.393,0.764,0.84,8.64E-06,0.0686,-5.023,0.0672,130.276,0.843
00NAQYOP4AmWR549nnYJZu,0.0155,0.664,0.771,9.60E-06,0.46,-5.779,0.0533,109.945,0.763
00NNd1BFzQQzZe4UcvZIzB,0.00544,0.623,0.82,0.000208,0.14,-6.842,0.0499,128.35,0.637
00NUqFMIpCsrYPbM9YpVHQ,0.0114,0.504,0.856,0,0.256,-5.024,0.286,101.866,0.335
00NxCtvQTy3wkSvpaKEyKe,0.956,0.612,0.139,0.00449,0.0925,-13.529,0.0885,163.557,0.489
00oZhqZIQfL9P5CjOP6JsO,8.40E-05,0.38,0.829,0.00208,0.342,-6.105,0.0405,125.887,0.0534
00p615Q4EFYMIAr055wqRu,0.0386,0.555,0.86,0,0.325,-5.965,0.038,108.594,0.468
00PQGqk0unpUPuu8JpXXmD,0.269,0.541,0.54,0.734,0.0973,-10.715,0.0443,115.643,0.547
00QAndVDVfNqNWYdWAhEan,0.577,0.135,0.399,0.00104,0.115,-8.67,0.0361,87.476,0.0383
00qOE7OjRl0BpYiCiweZB2,0.0828,0.357,0.653,0,0.0844,-5.554,0.0654,176.647,0.522
00QyLmjxaSEE8qIZQjBXBj,0.0521,0.554,0.899,0,0.0568,-4.573,0.408,171.966,0.552
00rDcOb5oBm6tUvhDnDhdJ,0.851,0.564,0.229,0.025,0.125,-18.816,0.0448,94.234,0.406
00ReeHCY0FQUyuAUyPJdnk,0.0514,0.672,0.761,0,0.474,-9.644,0.248,102.192,0.731
00RszQJWEyatTmJhP9OAay,0.0452,0.516,0.874,0.000519,0.959,-4.823,0.0273,104.975,0.501
00SmB7n85SKROGjybsyq5i,0.944,0.755,0.545,0.000118,0.144,-10.027,0.0646,149.807,0.964
00sPWXrRQtyGn9BqoPbMCd,0.857,0.12,0.133,0.867,0.106,-18.955,0.0393,73.94,0.0616
00sydAz6PeOxYzwG1dRIPi,0.00353,0.235,0.977,0.00604,0.172,0.878,0.107,152.952,0.241
00t78SKl7PHj3KfQ54fenL,0.00781,0.727,0.605,0.83,0.224,-8.303,0.0711,181.539,0.687
00t7QTffOR3SA3L1BvSQVq,0.44,0.506,0.505,2.30E-05,0.0938,-10.198,0.444,76.016,0.0788
00TU7szqwBrxWTd9SO7ihK,0.00285,0.372,0.764,0.0121,0.708,-7.352,0.0347,82.824,0.22
00U1MDChdOTxWwtKoOoBXE,0.462,0.612,0.591,0,0.111,-7.02,0.051,160.659,0.349
